AccusedMasterID,PersonID,AccusedName,AgeYear,GenderID,prior_offense_count,avg_crime_severity,max_crime_severity,recency_days,district,crime_head,co_accused_count,prior_arrest_count,is_repeat_offender,risk_score
1,P_0001,Naseema Rao (Leader),45,2,1,3.0,3,501,Hubballi-Dharwad,Cybercrime,4,0,0,38.8
2,P_0002,Iqbal Bhat,33,2,1,3.0,3,501,Hubballi-Dharwad,Cybercrime,4,1,0,38.8
3,P_0003,Manjula Fernandes,38,2,1,3.0,3,501,Hubballi-Dharwad,Cybercrime,4,0,0,38.8
4,P_0004,Santosh Kotian,27,1,1,3.0,3,121,Mysuru City,Cybercrime,7,0,0,55.1
5,P_0005,Ramesh Bhat,28,1,1,3.0,3,121,Mysuru City,Cybercrime,7,0,0,55.1
6,P_0006,Roopa Hegde,23,1,1,3.0,3,501,Hubballi-Dharwad,Cybercrime,4,0,0,38.8
7,P_0007,Rashmi Hegde,55,1,1,3.0,3,501,Hubballi-Dharwad,Cybercrime,4,1,0,38.8
8,P_0008,Sudha Achar,46,2,1,3.0,3,682,Mysuru City,Assault,4,1,0,38.8
9,P_0009,Roopa Bhat,35,1,1,3.0,3,682,Mysuru City,Assault,4,0,0,38.8
10,P_0010,Lawrence Sequeira,31,1,1,3.0,3,682,Mysuru City,Assault,4,0,0,38.8
11,P_0011,Sudha Reddy,39,1,1,3.0,3,682,Mysuru City,Assault,4,0,0,38.8
12,P_0012,Shivakumar Gowda,27,1,1,3.0,3,121,Mysuru City,Cybercrime,7,0,0,55.1
13,P_0013,Roopa Achar,51,1,1,3.0,3,121,Mysuru City,Cybercrime,7,0,0,55.1
14,P_0014,Rashmi Pinto,31,1,1,3.0,3,121,Mysuru City,Cybercrime,7,0,0,55.1
15,P_0015,Rashmi Hegde,31,1,1,3.0,3,121,Mysuru City,Cybercrime,7,1,0,55.1
16,P_0016,Nataraj Sequeira,50,1,1,3.0,3,682,Mysuru City,Assault,4,0,0,38.8
17,P_0017,Deepa Naik (Leader),48,1,1,4.0,4,597,Belagavi,Narcotics,7,1,0,47.8
18,P_0018,Roopa Salian,37,1,1,5.0,5,13,Hubballi-Dharwad,Homicide,8,0,0,73.0
19,P_0019,Alphonsa Sheikh,21,1,1,5.0,5,13,Hubballi-Dharwad,Homicide,8,0,0,73.0
20,P_0020,Rashmi Poojary,21,2,1,4.0,4,597,Belagavi,Narcotics,7,0,0,47.8
21,P_0021,Joseph Salian,28,1,1,5.0,5,13,Hubballi-Dharwad,Homicide,8,0,0,73.0
22,P_0022,Antony Rathod,39,1,1,5.0,5,13,Hubballi-Dharwad,Homicide,8,1,0,73.0
23,P_0023,Deepa Kotian,31,1,1,1.0,1,608,Mysuru City,Theft,7,1,0,29.8
24,P_0024,Roopa Bhat,40,1,1,5.0,5,13,Hubballi-Dharwad,Homicide,8,0,0,73.0
25,P_0025,Deepa Sequeira,43,1,1,4.0,4,597,Belagavi,Narcotics,7,1,0,47.8
26,P_0026,Deepa Sequeira,37,1,1,1.0,1,608,Mysuru City,Theft,7,0,0,29.8
27,P_0027,Deepa Naik,43,1,1,4.0,4,597,Belagavi,Narcotics,7,0,0,47.8
28,P_0028,Puneeth Bhat,54,2,1,1.0,1,608,Mysuru City,Theft,7,0,0,29.8
29,P_0029,Vinay Poojary,54,1,1,5.0,5,13,Hubballi-Dharwad,Homicide,8,0,0,73.0
30,P_0030,Prakash Setty,35,1,1,5.0,5,13,Hubballi-Dharwad,Homicide,8,1,0,73.0
31,P_0031,Harish Khan,22,1,1,4.0,4,597,Belagavi,Narcotics,7,0,0,47.8
32,P_0032,Antony Pinto,48,1,1,1.0,1,608,Mysuru City,Theft,7,1,0,29.8
33,P_0033,Kalpana Shetty,26,1,1,5.0,5,13,Hubballi-Dharwad,Homicide,8,0,0,73.0
34,P_0034,Sudha Reddy,27,1,1,4.0,4,597,Belagavi,Narcotics,7,0,0,47.8
35,P_0035,Alphonsa Sheikh,55,2,1,1.0,1,608,Mysuru City,Theft,7,0,0,29.8
36,P_0036,Roopa Salian,37,1,1,1.0,1,608,Mysuru City,Theft,7,0,0,29.8
37,P_0037,Alphonsa Shetty,47,1,1,4.0,4,597,Belagavi,Narcotics,7,1,0,47.8
38,P_0038,Xavier Setty,23,1,1,4.0,4,597,Belagavi,Narcotics,7,1,0,47.8
